Customer Number,Total Wait Time,Arrival Time,Departure Time,Duration of Service,Served by Teller
45,22,30,44,8,3
50,7,35,40,2,2
46,9,31,39,1,1
49,6,33,38,1,5
47,9,32,37,4,2
41,16,28,37,7,1
39,14,27,36,5,5
28,22,19,35,6,3
48,2,33,34,1,4
34,10,24,32,2,4
25,16,17,32,1,2
44,3,29,31,1,7
43,4,28,30,2,8
42,3,28,30,1,6
35,10,24,30,4,5
21,31,13,30,14,2
40,3,27,29,1,7
31,13,22,29,6,4
33,7,24,29,2,1
38,3,26,28,1,6
22,25,14,28,11,3
37,4,25,27,2,7
36,2,25,26,1,6
30,7,22,26,3,1
24,12,16,25,3,5
32,3,22,24,1,6
27,9,17,22,4,7
26,10,17,22,5,6
23,10,15,22,3,4
29,2,21,22,1,1
20,19,11,21,9,5
14,12,9,20,1,1
15,12,10,18,4,4
11,22,6,18,10,1
18,14,10,17,7,7
13,13,8,16,5,3
17,10,10,15,5,6
10,15,4,15,4,2
19,6,10,13,3,8
8,19,2,13,8,4
16,2,10,11,1,5
12,6,7,10,3,3
6,16,1,10,7,2
9,5,4,7,2,1
7,6,2,5,3,3
4,8,0,4,4,4
5,4,1,4,1,1
2,4,0,2,2,2
1,4,0,2,2,1
3,2,0,1,1,3
