Customer Number,Total Wait Time,Arrival Time,Departure Time,Duration of Service,Served by Teller
49,11,33,43,1,3
48,11,33,43,1,2
45,21,30,43,8,1
43,15,28,41,2,6
50,8,35,41,2,4
37,18,25,41,2,3
46,11,31,41,1,2
42,13,28,40,1,5
41,18,28,39,7,2
39,16,27,38,5,6
35,18,24,38,4,5
47,10,32,38,4,4
28,25,19,38,6,3
32,13,22,34,1,1
22,30,14,33,11,5
44,5,29,33,1,4
31,16,22,32,6,6
30,13,22,32,3,1
40,5,27,31,1,4
21,32,13,31,14,3
36,7,25,31,1,2
38,4,26,29,1,4
33,7,24,29,2,2
18,25,10,28,7,1
34,5,24,27,2,4
27,13,17,26,4,2
26,13,17,25,5,6
29,4,21,24,1,4
23,10,15,22,3,4
20,19,11,21,9,5
25,5,17,21,1,2
14,12,9,20,1,1
24,6,16,19,3,6
19,12,10,19,3,2
15,12,10,18,4,4
11,22,6,18,10,1
13,13,8,16,5,3
17,10,10,15,5,6
10,15,4,15,4,2
8,19,2,13,8,4
16,2,10,11,1,5
12,6,7,10,3,3
6,16,1,10,7,2
9,5,4,7,2,1
7,6,2,5,3,3
4,8,0,4,4,4
5,4,1,4,1,1
2,4,0,2,2,2
1,4,0,2,2,1
3,2,0,1,1,3
